Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050900~leukocyte migration	4	0.029601124842744023	0.017289917532257764	SELP, CXADR, PDE4B, NKX2-3	76	122	16792	7.244176013805004	0.9999317698177268	1.0	1.0
GOTERM_BP_DIRECT	GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	3	0.02220084363205802	0.020999012414803606	SELP, CXADR, FAT4	76	50	16792	13.256842105263157	0.999991474468797	1.0	1.0
GOTERM_BP_DIRECT	GO:0046654~tetrahydrofolate biosynthetic process	2	0.014800562421372012	0.026504921188300036	DHFR2, GART	76	6	16792	73.64912280701753	0.9999996166740376	1.0	1.0
GOTERM_BP_DIRECT	GO:0022612~gland morphogenesis	2	0.014800562421372012	0.03518491483549757	EZR, NKX2-3	76	8	16792	55.23684210526316	0.9999999972187064	1.0	1.0
GOTERM_BP_DIRECT	GO:0048333~mesodermal cell differentiation	2	0.014800562421372012	0.04806191750380866	ITGA2, KDM6A	76	11	16792	40.17224880382775	0.9999999999982829	1.0	1.0
GOTERM_BP_DIRECT	GO:0007507~heart development	4	0.029601124842744023	0.04860156235003052	GJA1, CXADR, LOX, XIRP2	76	183	16792	4.829450675870003	0.999999999998743	1.0	1.0
GOTERM_BP_DIRECT	GO:0002687~positive regulation of leukocyte migration	2	0.014800562421372012	0.05231645276344704	SELP, ITGA2	76	12	16792	36.82456140350877	0.9999999999998538	1.0	1.0
GOTERM_BP_DIRECT	GO:2000279~negative regulation of DNA biosynthetic process	2	0.014800562421372012	0.05231645276344704	MEG3, GJA1	76	12	16792	36.82456140350877	0.9999999999998538	1.0	1.0
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	4	0.029601124842744023	0.057409646983428375	LOX, ABI3BP, ITGA2, SPP1	76	196	16792	4.509129967776584	0.9999999999999925	1.0	1.0
GOTERM_BP_DIRECT	GO:0007165~signal transduction	10	0.07400281210686005	0.0731172494071694	CD274, GJA1, HPGDS, STMN1, PDE4B, TRIM13, ZNF217, RASSF9, TRHDE, GNG11	76	1161	16792	1.9030781087084634	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0016567~protein ubiquitination	5	0.037001406053430025	0.07675787527764624	KBTBD6, ZNRF3, TRIM24, FBXL3, KBTBD7	76	359	16792	3.077261398621903	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045216~cell-cell junction organization	2	0.014800562421372012	0.07745249555368244	CXADR, XIRP2	76	18	16792	24.549707602339183	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060122~inner ear receptor stereocilium organization	2	0.014800562421372012	0.08157739497498705	TRIP11, FAT4	76	19	16792	23.257617728531855	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0097503~sialylation	2	0.014800562421372012	0.08568409594755297	ST6GAL2, ST8SIA4	76	20	16792	22.094736842105263	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0048545~response to steroid hormone	2	0.014800562421372012	0.08568409594755297	LOX, SPP1	76	20	16792	22.094736842105263	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006486~protein glycosylation	3	0.02220084363205802	0.09077850485099902	ST6GAL2, ST8SIA4, TRIP11	76	113	16792	5.865859338612016	1.0	1.0	1.0
