Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell adhesion	8	0.05920224968548805	0.0032085253335611434	SELP, CXADR, PCDH9, ITGA2, SPP1, FAT4, FERMT2, PCDH17	84	479	20581	4.092056864499453	0.42092670872918236	0.5454493067053944	0.5454493067053944
GOTERM_MF_DIRECT	GO:0004842~ubiquitin-protein transferase activity	7	0.05180196847480204	0.0036450871203931637	KBTBD6, ZNRF3, TRIM24, TRIM13, FBXL3, KBTBD7, TOPORS	77	329	16881	4.664548217739707	0.47605007122267806	0.64518042030959	0.64518042030959
UP_KEYWORDS	Ligase	6	0.04440168726411604	0.013169209304755326	ZNRF3, RNF125, TRIM24, TRIM13, GART, TOPORS	84	347	20581	4.236517085220255	0.8949834877407323	1.0	1.0
GOTERM_BP_DIRECT	GO:0050900~leukocyte migration	4	0.029601124842744023	0.017289917532257764	SELP, CXADR, PDE4B, NKX2-3	76	122	16792	7.244176013805004	0.9999317698177268	1.0	1.0
UP_KEYWORDS	S-nitrosylation	3	0.02220084363205802	0.02007850029309616	SRR, GJA1, EZR	84	54	20581	13.611772486772486	0.9681932957893534	1.0	1.0
INTERPRO	IPR015915:Kelch-type beta propeller	3	0.02220084363205802	0.020424886541662655	KBTBD6, HCFC2, KBTBD7	78	53	18559	13.468069666182874	0.9901722417421578	1.0	1.0
GOTERM_BP_DIRECT	GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	3	0.02220084363205802	0.020999012414803606	SELP, CXADR, FAT4	76	50	16792	13.256842105263157	0.999991474468797	1.0	1.0
GOTERM_MF_DIRECT	GO:0071253~connexin binding	2	0.014800562421372012	0.022311355670468526	GJA1, CXADR	77	5	16881	87.6935064935065	0.9815710300955406	1.0	1.0
GOTERM_BP_DIRECT	GO:0046654~tetrahydrofolate biosynthetic process	2	0.014800562421372012	0.026504921188300036	DHFR2, GART	76	6	16792	73.64912280701753	0.9999996166740376	1.0	1.0
SMART	SM00184:RING	5	0.037001406053430025	0.026691318795318213	ZNRF3, RNF125, TRIM24, TRIM13, TOPORS	48	244	10057	4.293459699453552	0.7616135094659329	1.0	1.0
INTERPRO	IPR006652:Kelch repeat type 1	3	0.02220084363205802	0.029022279063318404	KBTBD6, HCFC2, KBTBD7	78	64	18559	11.153245192307693	0.998635808332928	1.0	1.0
UP_KEYWORDS	Mental retardation	5	0.037001406053430025	0.03281629411259416	PURA, RNF125, FAT4, CNNM2, KDM6A	84	299	20581	4.097189042841217	0.9965602638332091	1.0	1.0
INTERPRO	IPR017907:Zinc finger, RING-type, conserved site	4	0.029601124842744023	0.033231841699032635	RNF125, TRIM24, TRIM13, TOPORS	78	169	18559	5.631618874222424	0.9994845296372482	1.0	1.0
UP_SEQ_FEATURE	repeat:Kelch 4	3	0.02220084363205802	0.03331366683087268	KBTBD6, HCFC2, KBTBD7	83	70	20063	10.359552495697073	0.999997164281245	1.0	1.0
GOTERM_MF_DIRECT	GO:0016874~ligase activity	5	0.037001406053430025	0.033507948257281484	ZNRF3, RNF125, TRIM24, TRIM13, TOPORS	77	270	16881	4.059884559884559	0.9976006325271453	1.0	1.0
UP_SEQ_FEATURE	repeat:Kelch 3	3	0.02220084363205802	0.0341900283365654	KBTBD6, HCFC2, KBTBD7	83	71	20063	10.213643305616834	0.9999979855093449	1.0	1.0
UP_SEQ_FEATURE	repeat:Kelch 1	3	0.02220084363205802	0.0341900283365654	KBTBD6, HCFC2, KBTBD7	83	71	20063	10.213643305616834	0.9999979855093449	1.0	1.0
UP_SEQ_FEATURE	repeat:Kelch 2	3	0.02220084363205802	0.0341900283365654	KBTBD6, HCFC2, KBTBD7	83	71	20063	10.213643305616834	0.9999979855093449	1.0	1.0
