"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013","GSM813014"
"1552426_a_at",3.17334334174792,3.18961205203694,3.31172397854346,3.13541732177165,3.3843119278563,3.34122464580427,3.11534609267733,3.25101461281709,3.36395264065137,3.25187948411489,3.23705779920334,3.22073546237067,3.2274362727756,3.23123331754221,3.26498358214674,3.24733163328097,3.26793020064769,3.23504506444916,3.30117306827366,3.31647523591116,3.40555213442653,3.34417743337367,3.33764744661085,3.31785843261602,3.34123119401345,3.30039451571541,3.2026482522492
"1552803_a_at",2.1990048212967,2.2270238621412,2.68848722042629,2.74884611502441,2.60754502998029,2.04502806638348,2.57944326629976,2.76277507596131,2.72723912388049,2.52713340824049,2.58934235988116,2.61988154627382,2.55724783452891,2.44790075872435,2.31530508409923,2.38350440921196,2.43023682544774,2.34700339516233,2.26395863679844,1.94141961225429,1.86140000820027,2.12411833335893,1.97110831170259,2.22014264003756,2.14390013429191,2.13280647117635,2.40599127084898
"1553002_at",1.87544313281501,1.8263780485442,1.77160208115404,1.77194049704703,1.94636705303332,2.30690585432133,2.34601085190444,2.01110485601003,2.18660133993773,1.91880066349138,1.91725262475313,1.89682866619521,1.69885987921285,1.80447283808896,1.81257256585303,1.77793767761136,1.67512309059512,1.70737415259795,1.76354457674785,2.08985335720244,2.09993510050963,2.19911447342099,2.06538653455229,2.07944843065384,1.91097168439148,1.92077043509112,2.02828306003594
"1556449_at",2.81919810712093,2.84157748051983,2.63764780263772,2.67561543004224,2.7391298159835,2.73337039457458,2.7890044880303,2.6328195919362,2.64429724078598,2.72041375259784,2.67623332667572,2.64063226411319,2.64917948087605,2.78203924644397,2.74465152851544,2.7475534665303,2.7427948410889,2.7599702897021,2.67711219377105,2.65862760454328,2.65666088103629,2.71471106206408,2.68380984455788,2.71580663056702,2.68261217318548,2.66203979672646,2.76084622723059
"1570283_at",2.22886885693921,2.37459049214524,2.19234726593292,2.31404680412175,2.15020675800398,2.24069319694613,2.24015890682968,2.13543078445721,2.17893895445044,2.21838968098026,2.29119243745208,2.33016999604538,2.23267702538731,2.33943074109951,2.27773991456365,2.34543555075777,2.34860891011555,2.34113524554093,2.26879816557565,2.10405010541295,2.22943318616869,2.08351872765967,2.164896631728,2.22205860491688,2.18096479622744,2.20651257540604,2.3701595366609
"1570414_x_at",2.38690418072985,2.56248789049371,2.4443530000317,2.39367044826267,2.60754502998029,2.28052106486326,2.20913078974782,2.21188035361924,2.15000003631821,2.60531985344499,2.64823740095661,2.41144278781161,2.81794000173444,2.82208543019518,2.61879330515078,2.72755935452664,2.78140629870694,2.67266022754799,2.46159613510893,2.54866324565552,2.39913499180501,2.32266483536674,2.41614145984563,2.34501421782959,2.67678868853842,2.57645731797802,2.87342048780614
"1570473_at",1.88874519683962,1.84387734591545,1.67779596329829,1.70089953164621,1.82658306071375,1.68028609453368,1.63163049644282,1.64755443983164,1.63136881042384,1.56090958291383,1.78089293929166,1.66587934840302,1.78617854709243,1.67439827805793,1.62978371116951,1.6834453922982,1.65186270280433,1.68297773459012,1.75484304509798,1.86744856612181,1.87340493466138,1.80309722937967,1.7191974620511,1.76434063433348,1.76398768754711,1.83374545583115,1.69346866930714
"202815_s_at",3.09664980353443,3.05349160161109,2.72668650441126,2.93510025507866,2.83473689854083,2.84421449607008,2.87371714670604,2.96783924948097,2.91661479259332,2.87639022940166,2.82199280866154,2.87323777698954,2.74087705971307,2.81492053441248,2.76699155689664,2.75263492653397,2.75899727780406,2.80571653322455,2.95447625913873,3.04639292146367,2.82443794019962,2.92382082356456,2.94390707764321,2.95911263342923,3.02906799797797,2.91608983566543,3.00398390674786
"202843_at",3.26411887475046,3.01084731807218,3.19882304433076,3.15704257798535,3.29953290420653,3.25457907786656,3.1378789035059,3.26706875670158,3.25334202545981,3.14520952228181,3.05028540757827,3.08757485792822,2.98189593349177,2.85637482953228,2.76839925709121,2.84411564971897,2.7071196662484,2.59290116946876,2.82779484403301,3.18895298690975,3.13392645532096,3.11176065747133,3.06928644698488,3.22191542873138,3.20272816930886,3.1310240820427,3.06931515078545
"206822_s_at",2.18306849316162,2.46355968412844,2.29990078532908,2.15077768901482,2.21005745541794,2.15915962002393,2.37373756797078,1.98893403562857,2.17133046339158,2.63774331207201,2.73854844401949,2.59185411892892,2.7925555404244,2.84437360036208,2.66191191666996,2.65656936152512,2.6389322460292,2.77319270580623,2.49715221366484,2.09097940677129,2.16724840465684,2.26934170652372,2.44235887034371,2.42618664574919,2.4553164349885,2.57068441871653,2.60763190166793
