"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013","GSM813014"
"1552538_a_at",1.89763619258261,2.00721523963417,1.92035199783759,1.86076142210157,1.99084561067382,2.11643096742177,2.02719971016793,1.94628881503415,1.99685908236524,1.89314705258004,1.95979797040041,1.80367961617571,1.84056877586602,1.85503848037642,1.75731986484535,1.82958291055106,1.8253761614049,1.83532949673422,1.82911727224045,1.89213219194936,2.06039504166154,2.25825689423142,1.8958276357613,1.9470249827644,1.80633684462321,1.89683563958062,1.85306308148633
"1552691_at",2.2533167591814,2.36000657869125,1.92840708876894,1.61226850621213,1.63015754521875,1.70461438056895,1.50757749032661,1.55713311711342,1.73960014517857,2.48234183145338,2.35240656394008,2.51139871133142,2.81717564566132,2.73993448903754,2.59894183457245,2.46030536488492,2.84281937249994,2.73076775510498,2.81117136274707,2.33534804692984,1.7721132655628,1.62459645072426,2.4471051847705,2.79845868474884,2.54708528418961,2.6237172950262,2.78495033271808
"1553188_s_at",2.24167790937281,2.13844031554454,2.11902078201727,2.14234350713277,2.02804714162143,2.14172018953162,2.43558299243454,2.06955129091765,2.12505327097633,2.0873562476084,2.09339723842137,2.02225061704049,2.03272681582889,1.98122942053137,1.94021299117239,2.00345364223202,1.96960289929755,2.01306092930788,1.99462425338802,1.95752648560445,2.03653709293545,2.43237820471793,2.13062747670999,1.99591210830584,1.93087885664004,1.99650806215606,2.13480348689371
"1553449_at",2.17898387663897,2.16324688272975,2.05668895222892,2.27663393102213,2.23621247108497,2.48571920091219,2.50458708927902,2.22161820774564,2.41941807759958,2.05559966336274,2.20439554535034,2.0516926263378,2.02209718244762,2.00074568059431,2.04609636922168,1.94329161540219,1.94026825249153,1.96221843298449,2.03938829899345,1.96921865526776,2.04306237826298,2.32718549491337,2.02186877619743,2.06394465689215,2.08758164653826,1.92611103327593,2.05222667583611
"1553627_s_at",1.74053991208869,1.7549875255522,1.73445730940867,1.85653717987463,2.05526716237811,1.9661443364117,1.76858197731391,1.79469699552605,1.79217443949614,2.27863455736165,2.17646033279951,1.76654936789024,1.81212153520618,2.20592763732715,2.42539270077632,2.32330463465545,2.17933810758672,2.16385388781187,2.02320140549927,1.86296430245943,1.75733138691716,1.9273845000115,1.69746870443304,2.40239829801754,2.5835065679243,2.43942686449415,1.86367128929935
"1553846_at",2.41874208812356,2.4184204368417,2.3647206160789,2.39738761396239,2.49841300201884,2.54501053649168,2.50875721489964,2.41806011304578,2.43679454571864,2.27829020935291,2.40128176404448,2.35790411998529,2.33080590281925,2.29039579740447,2.29366888108143,2.23153808751898,2.23599811401502,2.17448056488522,2.36765538275824,2.17947983931271,2.32986155059818,2.3428997336196,2.34630820429083,2.31728293724047,2.35732425195146,2.43548511742957,2.29974022430088
"1554646_at",2.40833035224066,2.42479554460441,2.55895207823302,2.39996565635924,2.56730984662594,2.52966230380645,2.44629223063773,2.35393581243495,2.45891346692617,2.42149100626352,2.44276439155419,2.50120905994772,2.59084893423712,2.57512011992035,2.60496371517025,2.53203712167851,2.55679087165156,2.58031797025813,2.57662710135235,2.21384712202071,2.52013707591214,2.4537459165261,2.55546058997121,2.44588399302328,2.5347227691514,2.51613091106945,2.5460308680675
"1554675_a_at",1.87181369059634,2.00071035239771,1.71442797270105,1.95559885875719,1.72850960712342,1.76713101122105,1.83685808863264,1.83160853448068,1.79019734718151,1.63235477460522,1.72408574232905,1.70385685289481,1.83581738361736,1.71692199447183,1.60978663304622,1.65555562351728,1.66924315353707,1.60127434163711,1.65819319897601,2.07411559572122,1.76319993534488,2.0004756502712,1.60600816985045,1.82150899912066,1.67613830024198,1.87753067601818,1.60261175515216
"1555678_at",2.35890989148644,2.30288461108024,2.14607776790288,2.24698049101445,2.18088748249745,2.39237348069694,2.27244279398326,2.28274729017227,2.37355940595454,2.13581064309147,2.05428760926492,2.15528552726291,2.07456503364573,1.98966075434228,2.12938161147697,2.04703367130784,1.99811749800846,2.02233798222566,1.99217165508612,1.97313697240624,1.94297721954733,2.46056408311812,2.19656896198227,2.04540592433728,2.12812179853068,1.94806702633009,1.90441473126358
"1556171_a_at",2.12115236757487,2.16040457130325,2.05802584899547,2.22029528024729,2.02771388976459,2.05482069920636,2.12658537719421,2.08999060341146,1.98918406817209,1.8659659141153,2.02170926111956,1.94429999601978,2.07825424032325,1.92375542246417,1.86840546767309,1.87062275395797,1.87816463125119,1.87292723365123,1.89145418441449,1.96004828297139,1.9402460730327,2.13794446200315,1.92345423494832,1.87340375340302,2.00409540297816,1.96617793665738,1.79018566749385
"1556375_at",2.65206492545168,2.60132783346048,2.5328660016876,2.56093745468672,2.60552372793116,2.42075024665017,2.53922632145122,2.3959478929011,2.47784904208773,2.53005325793408,2.65830724024267,2.58121456432193,2.71031493844558,2.78206001132015,2.79979832145311,2.75188164370209,2.80456328725963,2.7795866801857,2.83715327622754,2.3586893851081,2.72282381219,2.42074943834105,2.63058206965927,2.67621165849113,2.71833093600289,2.64668893742912,2.7922642051169
"1556798_a_at",1.90893008593343,1.82546978715386,1.94329574186121,1.97220922423316,1.99240336098838,1.97688892306391,1.97558946891256,1.9352255030065,1.93883189868871,1.79360544202813,1.87892579449203,1.8081910306541,1.77185220392487,1.77109578783948,1.78649850621289,1.83491221650218,1.75644861506436,1.78442273743789,1.73899821734312,1.72237377647537,1.77031909797795,1.98072800863433,1.88009304655199,1.91540731631335,1.80505879851348,1.85604150586864,1.81593851606864
"1556978_a_at",2.61490250464534,2.59222427365899,2.52847580279634,2.64014843513719,2.60977434293895,2.64086752545085,2.67423849015357,2.51715876087288,2.57311854171357,2.71518853959181,2.63836211562693,2.62351831668427,2.7150441923664,2.69254548352078,2.73930245346704,2.71940448342529,2.72669587630072,2.67661698021298,2.70796822116001,2.72135450262437,2.58975438024335,2.64875464333195,2.57139600919535,2.74318317682235,2.72395385599123,2.70683132669069,2.60399396656481
"1557034_s_at",2.47967008156517,2.72881062214987,2.60133044856544,2.4597445183729,2.46614235571408,2.46991384033198,2.62336613825644,2.51283342427242,2.60078355074189,2.6464223649806,2.66079539113882,2.64166254975063,2.52897006767538,2.69205732616292,2.76154399900605,2.64127249222285,2.71801610520148,2.72631768312084,2.6641050505623,2.50297465462585,2.67307717969875,2.60985115439177,2.4889064783906,2.64356485137755,2.69834006850683,2.64155758909763,2.60406823895577
