"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013","GSM813014"
"1552803_a_at",2.1990048212967,2.2270238621412,2.68848722042629,2.74884611502441,2.60754502998029,2.04502806638348,2.57944326629976,2.76277507596131,2.72723912388049,2.52713340824049,2.58934235988116,2.61988154627382,2.55724783452891,2.44790075872435,2.31530508409923,2.38350440921196,2.43023682544774,2.34700339516233,2.26395863679844,1.94141961225429,1.86140000820027,2.12411833335893,1.97110831170259,2.22014264003756,2.14390013429191,2.13280647117635,2.40599127084898
"1553267_a_at",1.97463283039881,2.06682559519753,1.92250881272989,2.12213728189053,2.24147076974139,2.21836612019063,2.1170852588181,1.99336604670413,1.97005774435676,1.8862516278128,2.13076023963803,1.94860047373812,2.05415977731664,2.24014455459487,1.87927485360614,1.97542255237415,1.9312715561236,1.83022611294874,1.90019328042093,1.89837438351062,1.97370384012476,1.93516099413655,1.94141134858505,1.86009155611348,1.90030729600564,1.88948522422504,1.86963810885613
"1553808_a_at",2.35684131988814,2.17392501373366,2.53126940944965,2.38175625528881,2.69627609063362,2.91520517508548,2.01884564947164,2.66656982462707,2.83749422146765,2.6482804348634,2.71577500760601,2.44817810141685,2.68190325487211,2.68409631170905,2.73005558684486,2.68752075404667,3.02975429186772,2.93753554599593,2.89759573019512,2.8807636813683,2.70434258413191,3.23208033899208,3.14502948257298,2.77822266679105,2.77616590679434,3.04808444354761,2.84791074302815
"1554007_at",2.34033666116552,2.0764020934587,2.84333187186293,2.70902346974958,2.57616002802498,2.35508535175314,2.50671262546496,2.62364051604712,2.50198681944149,2.76412976856822,2.9217556459921,2.8856948116898,2.7835563927919,2.79104637401321,2.91193523776045,2.85394536149364,3.00814048009491,3.01927989555527,2.98700736862242,2.895563213675,3.14620325024038,2.64449198962875,3.1828564185746,3.03673699448804,3.0049171520887,3.0150227421179,2.94192886342825
"1555858_at",2.3804025335582,2.45689943523802,2.2132931504889,2.27686882997646,2.36699524497074,2.29253381992057,2.09711486924777,2.1088669830055,2.28477706355188,2.32268040843437,2.4499255348665,2.33684492974375,2.18899680739763,2.25668069226647,2.57607946617026,2.18164103518721,2.36303984058106,2.31423130837591,2.42204753785161,2.70729595584112,2.43285734635028,2.58712492187178,2.52119977417805,2.39993695473285,2.54906264316371,2.64795799453291,2.46913344322363
"1559343_at",1.88190302601968,2.10891146530869,2.1882445555874,2.01033013468372,1.78292306236625,2.66523152767086,1.88324347677654,2.32876352358385,2.55191807054654,2.16108180484731,2.1336628144626,2.02787981777408,1.92686781142774,1.77882716224875,1.87651105299024,2.11852352334593,1.79944005992146,2.06074918614406,1.78539528889315,1.69117366945048,1.7039897035732,1.85578523460077,1.899229392109,1.84566065522672,1.85391622692314,1.82311875662586,2.38228183708907
"1560201_at",2.14856907439637,2.33129934769745,1.91586465908954,2.0248324044537,1.81124988254627,1.90970821500123,2.14272383716128,1.83760018270482,2.0487746540937,1.99973019079941,2.124863421139,1.6956437835206,1.90781477851413,2.11525535825527,2.04658290640999,2.05707278258592,1.87642461112762,1.60318597764226,1.74222788150444,1.77710868060119,1.81110435032392,1.87781334062853,1.74354555794464,1.67206049201269,1.68733665577776,1.82830376998334,1.75468743457946
"1560698_a_at",1.85993934271939,1.95368988209088,2.01820543205002,1.88809287906261,2.02657558331508,2.0686426099143,1.74566717184685,1.78764935398524,2.08293314327318,2.09901471850459,1.9987547776184,2.158424284309,2.04773799313633,2.02366024382843,2.21233120448291,2.54593724212992,2.21269539407535,2.41077742945198,2.67111353397925,2.56168832293111,2.92953026667004,2.01416780185976,2.84189202793116,2.44894296308131,2.73988611332542,2.69214126438086,2.25407153077235
"1561269_at",2.11222204614553,2.13129643800307,2.16275239542673,2.08617164560928,2.25026551745118,2.12911614930862,2.00950555184366,2.22790677296985,2.12123659724302,2.02510075021385,2.14038995904701,2.25597077876263,2.17452850231086,2.1502805335718,2.10037421270797,2.03820262034564,2.0605008791011,2.05088369550181,2.07999277903926,2.1241448084345,2.00118252516445,1.97739679996379,1.97793965676318,2.02831948777693,2.01951369361342,2.0093073954691,2.16937763529979
"1562406_at",1.78091896844949,1.93534395037975,1.74560995332807,1.77125048394581,1.9970217301268,1.86890797213664,2.12657480512198,1.83817365114648,1.89271469733831,1.73509537104197,1.77478705960117,1.86500739256558,1.93767809449535,1.80371970086973,1.80393250301606,1.71171338682064,1.95007791913049,2.05887441451907,2.22719179851852,1.90693099050414,2.07722932403314,2.33892495667118,2.35492827857087,2.18353764704837,2.51452805183677,2.37858209163661,1.85894061533859
