Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	4	8.51063829787234	0.015056183275123959	206674_AT, 203984_S_AT, 223920_S_AT, 225912_AT	42	213	16792	7.5081600715403525	0.9896044158788562	0.9896044158788562	18.35821416841047
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	19	40.42553191489361	0.034269431813508944	235605_AT, 206726_AT, 219661_AT, 231656_X_AT, 204639_AT, 225912_AT, 227983_AT, 210323_AT, 232520_S_AT, 1553267_A_AT, 229682_AT, 222105_S_AT, 212086_X_AT, 1552803_A_AT, 201510_AT, 236257_AT, 201851_AT, 225096_AT, 214430_AT	43	5222	18224	1.5420270234161375	0.9518639873234732	0.9518639873234732	31.39913265730091
KEGG_PATHWAY	hsa00603:Glycosphingolipid biosynthesis - globo series	2	4.25531914893617	0.038017094787475884	210608_S_AT, 214430_AT	20	14	6879	49.135714285714286	0.8902159600204407	0.8902159600204407	31.89933063250733
UP_KEYWORDS	Lipid biosynthesis	3	6.382978723404255	0.042096688498396	204257_AT, 206726_AT, 231656_X_AT	44	156	20581	8.995192307692308	0.9981251587675984	0.9981251587675984	40.02184633557525
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	4	8.51063829787234	0.0452608576417265	1560201_AT, 229269_X_AT, 201510_AT, 228188_AT	39	355	16881	4.877139761646803	0.9882798303179692	0.9882798303179692	39.958567108948486
GOTERM_BP_DIRECT	GO:0048545~response to steroid hormone	2	4.25531914893617	0.04774288966351855	209875_S_AT, 204298_S_AT, 215446_S_AT	42	20	16792	39.98095238095238	0.9999995972630583	0.999365384414201	48.00660562576321
GOTERM_CC_DIRECT	GO:0016020~membrane	10	21.27659574468085	0.059836502566874616	201325_S_AT, 204257_AT, 222105_S_AT, 224263_X_AT, 210608_S_AT, 203708_AT, 213981_AT, 1552803_A_AT, 204639_AT, 227983_AT, 215671_AT	43	2200	18224	1.9264270613107821	0.9953366874236333	0.9317115487335769	48.66741352765174
GOTERM_BP_DIRECT	GO:0007165~signal transduction	7	14.893617021276595	0.060990363741347045	222105_S_AT, 203708_AT, 206726_AT, 1552803_A_AT, 236257_AT, 205204_AT, 215671_AT, 201851_AT	42	1161	16792	2.4105656043640535	0.9999999940613904	0.9981890980982477	56.88742610879023
GOTERM_CC_DIRECT	GO:0005829~cytosol	13	27.659574468085108	0.06663208549331401	206674_AT, 203708_AT, 206726_AT, 204639_AT, 203984_S_AT, 225912_AT, 227983_AT, 232520_S_AT, 1553267_A_AT, 212086_X_AT, 213981_AT, 1552803_A_AT, 215671_AT, 202862_AT	43	3315	18224	1.6620155038759687	0.9975191559146229	0.8646266560197795	52.538261897128166
UP_KEYWORDS	Lipid-binding	3	6.382978723404255	0.07065756367289892	231656_X_AT, 201851_AT, 232520_S_AT	44	209	20581	6.714114832535885	0.9999774232082288	0.9952484958411871	58.14537686011392
GOTERM_BP_DIRECT	GO:1900026~positive regulation of substrate adhesion-dependent cell spreading	2	4.25531914893617	0.07531336624212892	225673_AT, 238909_AT	42	32	16792	24.988095238095237	0.9999999999418743	0.9972388363671083	64.89619059847365
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	3	6.382978723404255	0.08266368871466495	209875_S_AT, 204298_S_AT, 215446_S_AT, 201510_AT	42	196	16792	6.119533527696793	0.9999999999947385	0.994450922391803	68.44889492414748
UP_KEYWORDS	Cytoskeleton	6	12.76595744680851	0.087109270602264	229682_AT, 231656_X_AT, 1552803_A_AT, 236257_AT, 227983_AT, 210323_AT	44	1138	20581	2.4661687170474518	0.9999983360344717	0.9881500975558342	66.15101965321843
UP_KEYWORDS	Amidation	2	4.25531914893617	0.0899156270047773	227972_AT, 205204_AT	44	45	20581	20.78888888888889	0.999998938495232	0.9679018141497256	67.36732975006574
UP_KEYWORDS	Alternative splicing	28	59.57446808510638	0.0899302884639761	209875_S_AT, 219661_AT, 203984_S_AT, 205204_AT, 225912_AT, 209950_S_AT, 1553267_A_AT, 229682_AT, 202862_AT, 235605_AT, 227972_AT, 206674_AT, 203708_AT, 231656_X_AT, 228188_AT, 1561269_AT, 232520_S_AT, 201325_S_AT, 222105_S_AT, 212086_X_AT, 224263_X_AT, 1552803_A_AT, 229269_X_AT, 201510_AT, 223920_S_AT, 244584_AT, 215671_AT, 201851_AT, 206287_S_AT	44	10587	20581	1.237083215264003	0.9999989409890411	0.936176577271257	67.37357771554575
GOTERM_BP_DIRECT	GO:0008219~cell death	2	4.25531914893617	0.091034856253263	201325_S_AT, 228188_AT	42	39	16792	20.5030525030525	0.9999999999996668	0.9916736879438696	72.08840576411015
KEGG_PATHWAY	hsa00350:Tyrosine metabolism	2	4.25531914893617	0.09248496647276469	213981_AT, 202862_AT	20	35	6879	19.654285714285717	0.9960402460333369	0.937073424003342	61.78458876779829
BIOCARTA	h_caspasePathway:Caspase Cascade in Apoptosis	2	4.25531914893617	0.09909000370393833	212086_X_AT, 203984_S_AT	8	24	1625	16.927083333333332	0.8622959511470243	0.8622959511470243	54.25298264426159
