"","x"
"1552803_a_at",-0.302433326051577
"1556449_at",-0.0739793511497009
"1570283_at",-0.147940973278568
"1570414_x_at",-0.256193311709522
"206822_s_at",-0.35008745340169
"208094_s_at",-0.0972090195651809
"213665_at",-0.428187052190689
"221810_at",-0.126126519084496
"222689_at",-0.194926347600952
"226143_at",-0.058200617853347
"242075_at",-0.332786832890529
"242160_at",-0.097866104696803
"243020_at",-0.813812301905295
"243109_at",-0.67005954662881
"243355_at",-0.285418875196418
"243840_at",-0.204813267969956
