"","x"
"1552538_a_at",-0.122607728974611
"1553188_s_at",-0.147500971064689
"1553449_at",-0.24277544576421
"1553846_at",-0.168213569740752
"1554675_a_at",-0.1489028981841
"1555678_at",-0.191679237147257
"1556171_a_at",-0.175563522619508
"1556798_a_at",-0.114972001614859
"1557620_a_at",-0.200884773001275
"1558595_at",-0.105426830743547
"1559559_at",-0.179657762670869
"1559982_s_at",-0.179115319301042
"1560763_at",-0.14740038568069
"1560885_x_at",-0.163812706331056
"1561002_at",-0.166164804883659
"1561909_at",-0.0949297007380538
"1563171_at",-0.150746408015967
"1563943_at",-0.120986305529658
"1564471_at",-0.133603128329792
"1566490_at",-0.129041836005105
"1566873_at",-0.131657334132492
"1567022_at",-0.154055359260722
"1569114_at",-0.112490731904604
"1570252_at",-0.146984926612135
"1570302_at",-0.174497823361742
"200001_at",-0.221203711214828
"200681_at",-0.139652466709661
"200773_x_at",-0.0510897010003464
"201203_s_at",-0.180085375157125
"201345_s_at",-0.111157720775792
"201598_s_at",-0.143119773798296
"202100_at",-0.135642252136786
"202217_at",-0.0906492591846213
"202286_s_at",-0.211604808825393
"202428_x_at",-0.102733866929089
"202811_at",-0.152493425616032
"202830_s_at",-0.307269195838801
"202843_at",-0.408387055138783
"202862_at",-0.239868639701967
"203454_s_at",-0.125691982485044
"203696_s_at",-0.193360398929544
"203823_at",-0.111696988401978
"203838_s_at",-0.122541483867166
"203910_at",-0.417596997400603
"204380_s_at",-0.118195592567099
"205040_at",-0.159364646135007
"205090_s_at",-0.0872574653510765
"205120_s_at",-0.262913426888715
"205562_at",-0.157293478238367
"205690_s_at",-0.157239626833606
"205967_at",-0.0818229418118808
"206025_s_at",-0.245590527040783
"206216_at",-0.124153845650885
"206292_s_at",-0.17072073377038
"206321_at",-0.131999640106316
"206388_at",-0.119324110456348
"207116_s_at",-0.15927070622902
"207157_s_at",-0.110193585053366
"207453_s_at",-0.225022479883122
"207558_s_at",-0.147266182612606
"207586_at",-0.134628097012469
"207727_s_at",-0.083551675339232
"207735_at",-0.300444135408018
"207977_s_at",-0.204282987888275
"208099_x_at",-0.223695844501545
"208805_at",-0.072935611176185
"208887_at",-0.15546125509381
"208912_s_at",-0.114224164100655
"208998_at",-0.106917500385079
"209190_s_at",-0.0610869449737166
"209344_at",-0.561375309409808
"209950_s_at",-0.168638294987062
"210006_at",-0.176976377095815
"210841_s_at",-0.108564413332001
"210850_s_at",-0.176291362121738
"210949_s_at",-0.129610657239455
"211174_s_at",-0.243573618974197
"211372_s_at",-0.174184722946728
"211881_x_at",-0.139271398753024
"211963_s_at",-0.121643005418143
"212034_s_at",-0.071077168079078
"212344_at",-0.216826596563724
"212411_at",-0.195844971811796
"212863_x_at",-0.0871919885051597
"213048_s_at",-0.0989435883228054
"213980_s_at",-0.103687805384693
"214205_x_at",-0.118920776479427
"214229_at",-0.152876180441805
"214562_at",-0.199116189513305
"215538_at",-0.195223328963829
"215675_at",-0.201839224074693
"215679_at",-0.222537556360421
"215830_at",-0.153693502238695
"216383_at",-0.17091863165927
"216427_at",-0.131066180508657
"216437_at",-0.175079942974496
"216603_at",-0.237519553208981
