"","x"
"1552803_a_at",-0.446796903085402
"1553267_a_at",-0.137368438727693
"1559343_at",-0.319713391078961
"1560201_at",-0.224768134373513
"1561269_at",-0.113272518593868
"1562468_at",-0.342765444802209
"201325_s_at",-0.250279346944699
"201510_at",-0.121839493213501
"201851_at",-0.0911046144624512
"202862_at",-0.278207197929722
"203190_at",-0.111365165563816
"203708_at",-0.338705240480706
"203984_s_at",-0.103884745586272
"204257_at",-0.12638396574919
"204298_s_at",-0.335493938754313
"204639_at",-0.162995843560425
"205204_at",-0.0954009847060386
"206287_s_at",-0.198834369848505
"206674_at",-0.116645156997714
"206726_at",-0.494061918035593
"209875_s_at",-0.374412879734177
"209950_s_at",-0.137753679524943
"210323_at",-0.167088258163813
"210608_s_at",-0.103556091639481
"212086_x_at",-0.176228310765747
"213981_at",-0.145875518852813
"214176_s_at",-0.21344055098423
"214309_s_at",-0.143440231436222
"214430_at",-0.116957685899449
"215446_s_at",-0.821583140903537
"215671_at",-0.442654180049312
"215675_at",-0.130661889571046
"218132_s_at",-0.084834046166002
"219661_at",-0.186589139645539
"222044_at",-0.336397470851253
"222105_s_at",-0.11245585298216
"223920_s_at",-0.13822278730598
"224263_x_at",-0.167051510951683
"224706_at",-0.112027764717379
"225096_at",-0.105489118193945
"225673_at",-0.130053773417774
"225703_at",-0.140851965013213
"225912_at",-0.109088677578003
"227972_at",-0.128151011316828
"227983_at",-0.140967018992417
"228188_at",-0.349372778585407
"229269_x_at",-0.100501813182296
"229682_at",-0.0988577265570845
"231174_s_at",-0.220058396140657
"231508_s_at",-0.344455733518236
"231656_x_at",-0.150584604661899
"232520_s_at",-0.105303900786234
"235605_at",-0.126596596854862
"236074_at",-0.138407215322926
"236253_at",-0.370847325291139
"236257_at",-0.120757052046697
"238134_at",-0.293289022595865
"238909_at",-0.268728480545964
"239809_at",-0.500377005783779
"243247_at",-0.21114326826582
"244584_at",-0.100496900341964
