"","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013"
"STMN1",2.44790075872435,2.31530508409923,2.38350440921196,2.43023682544774,2.34700339516233,2.26395863679844,1.94141961225429,1.86140000820027,2.12411833335893,1.97110831170259,2.22014264003756,2.14390013429191,2.13280647117635
"RPL32P3",2.94867597033103,2.69177399861685,2.75919056887572,2.90947435950891,2.87341162844043,2.82855440843653,2.40184750978781,2.3479961061581,2.36125715063461,2.50544535263613,2.87528289624806,2.6018505224924,2.57912413879873
"PCBP1-AS1",3.0647949217458,2.79594207999765,2.74071605025393,2.74336911857813,2.81118143489742,2.83328055200013,2.45356472448119,2.33355511604106,2.08212042140749,2.32932512886518,2.66406681090034,2.25454022817421,2.58585525267323
"IRAK3",2.78346000702456,2.93676795235431,2.6407363667823,2.91321265524845,2.73950488187302,2.5551790694623,2.52551617367126,2.54980246909719,2.14762418701845,2.27866607388544,2.59887182249606,2.61192918319486,2.79400842293465
"HECTD1",2.75457349480616,2.81668755569447,2.73379771137501,2.83114233322545,2.65325473338986,2.66916581101958,2.19733985026185,2.15151887980716,2.26766942469178,2.54069736155047,2.68894638406224,2.6228371348201,2.64687852640408
"AHR",2.86751795393203,3.08027118759354,3.11549974548199,3.11664687979565,3.20447301808746,3.17946534828089,2.76223186436417,2.36273862440967,2.59657024940087,2.67302469967644,2.7513060315931,2.7901303962609,2.74858724862962
"DNAJB9",2.85637482953228,2.76839925709121,2.84411564971897,2.7071196662484,2.59290116946876,2.82779484403301,3.18895298690975,3.13392645532096,3.11176065747133,3.06928644698488,3.22191542873138,3.20272816930886,3.1310240820427
"SLC16A3",3.13054313460829,2.20889864023107,2.22402977511479,2.14556170891659,2.14597183275834,2.13175145742615,3.34664293612293,3.33691789129222,3.40563286605942,3.38590435679478,3.34689421762865,3.34814926071646,3.38058262298875
"ATP6V1C1",2.30463427891615,2.149843675243,2.13657235712396,2.09186702476553,2.07647187408935,2.05687030486172,2.7308605545632,2.32279374069658,2.80355811555689,2.73426718009638,2.66247281790096,2.51882843198135,2.66260520527385
"PPP2R1B",3.27866220868843,3.01974869898553,2.96828764574044,2.94298997679867,2.98669707931545,2.97261160350938,3.49003428280528,3.49075597456283,3.4472465846054,3.41502685936368,3.36819520740294,3.24791475692577,3.21646898936273
"SDC3",2.76910312153291,2.33893835910928,2.2199915319965,2.31183062005514,2.3175613800633,2.35121784884766,3.10465317922369,3.06886441800926,3.04581303328747,3.08754685457412,2.84092844688906,2.95624924678105,2.95606985226798
"E2F1",3.03362210173985,2.46624469971221,2.45916194061532,2.51373378512062,2.51472093330227,2.55966972238673,3.16336121885832,3.17283710587751,3.11147039926231,3.1957913635397,3.20000850268557,3.23627937459139,3.22818545849036
"HCG4",2.48086456914927,2.33106712563507,2.17067212398546,2.38959874893303,2.59187900625844,2.60979845035833,2.84584669125405,2.55211930098263,2.70421153693564,2.88884083752541,2.68466952420696,2.67610805298549,2.67830609862627
"AL031681.3",2.84437360036208,2.66191191666996,2.65656936152512,2.6389322460292,2.77319270580623,2.49715221366484,2.09097940677129,2.16724840465684,2.26934170652372,2.44235887034371,2.42618664574919,2.4553164349885,2.57068441871653
"TPM4",2.28354134834963,2.35777352926773,2.10640125532367,2.02382770298435,2.08174387995854,2.09853274815365,2.89534857741918,2.87395588624192,2.93301679146961,2.72956516898604,2.23618338163617,2.43727248946827,2.55026509875016
"AL512380.2",3.02752423438287,2.69148771207096,2.78893789922307,2.84521443223002,2.81787575820534,2.62158328492442,2.27443253780553,2.18904141750183,2.14273331145759,2.39991699993229,2.80352815209674,2.43173312980821,2.38519880672751
"TTC30A",2.11935020038501,2.22143662848187,2.37214334931879,2.20294266988066,2.26064627286739,2.17895679605447,1.77741508625905,1.92017399183061,1.90775902895237,1.72462626299243,2.00796652708818,2.05380922345235,2.17528282761787
"PTPRD",2.86649993142769,2.89493685953558,3.14725100902555,2.70184266706925,2.98903561657563,2.85979446675326,2.09301517529442,2.16357988159663,2.04483857583346,2.45463206020368,2.52018159069427,2.82392540726655,2.5844803195594
"NMD3",2.16628160729152,2.54002776536988,2.35022339191753,2.24561613590783,2.34005545652615,2.48884659533303,2.76940149873686,2.82111138253142,2.73087989608731,2.78582964804575,2.37632984017341,2.64541000090763,2.6059517705968
"ZNF236",2.58884197684075,2.58438747216531,2.6292656837081,2.75445762186816,2.70724890320772,2.73109459132197,2.22915135685107,2.15008097333672,1.97626024193855,2.21832333777317,2.4344173952921,2.41685108890785,2.50806907493624
"ANKRD23",2.54849235850482,2.71836425669102,2.6817773483605,2.54693173802867,2.85899848246773,2.55454096568583,2.34500484716767,2.22679488251948,2.10816980293061,2.48876460548473,2.44536863327644,2.44252608203519,2.6068389739336
"FSD1L",2.19856612943935,2.21023829010031,2.21100035274328,2.39608631100604,2.06406161959112,1.92951947286583,1.89345968161792,2.12811420794963,1.72631157890208,1.76625082427746,1.89639005000604,2.13941841369273,2.10839799587917
"KLF8",2.46821314721643,2.51279297950202,2.49598239405241,2.57853421887193,2.65934439618016,2.58766022110949,1.88236406874518,2.04726790171118,2.12661742331482,1.93314014259664,1.9343232486535,2.51540767478228,2.41238916731044
"PCCA",3.0052769132399,2.77474300073466,2.66155009831818,2.74400454389843,2.64784980782715,2.64119826067825,2.52716444301498,2.32733210707875,2.28883012973801,2.20494042691351,2.17781129983604,2.55718336838609,2.46090215555806
