"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005"
"ARL11",2.2533167591814,2.36000657869125,1.92840708876894,1.61226850621213,1.63015754521875,1.70461438056895,1.50757749032661,1.55713311711342,1.73960014517857,2.48234183145338,2.35240656394008,2.51139871133142,2.81717564566132,2.73993448903754,2.59894183457245,2.46030536488492,2.84281937249994,2.73076775510498
"KLHDC1",2.75437851507056,2.57857793386252,2.94329180296876,2.83687606005548,2.62113406144024,2.5398732181134,2.13990034006646,2.46866203101164,2.25802286590796,3.21256451429622,2.99218724835698,3.07940303056933,2.9870932551007,3.03558696218949,3.05154559755575,2.97376058810683,2.95072314958078,3.16661567385287
"TMX3",1.9970217301268,2.11276084141364,2.46778733450658,2.05655370311252,2.37423546980466,1.9429727169611,1.770113545557,2.08198242441191,1.85567960411169,2.00074279669232,2.30146707556975,2.55240264882317,1.97804988815137,2.33674240610782,2.34982043609059,2.2832550754013,2.54376880660205,2.46659579932071
"EFCAB13",1.74053991208869,1.7549875255522,1.73445730940867,1.85653717987463,2.05526716237811,1.9661443364117,1.76858197731391,1.79469699552605,1.79217443949614,2.27863455736165,2.17646033279951,1.76654936789024,1.81212153520618,2.20592763732715,2.42539270077632,2.32330463465545,2.17933810758672,2.16385388781187
"ZNF483",2.34033666116552,2.0764020934587,2.84333187186293,2.70902346974958,2.57616002802498,2.35508535175314,2.50671262546496,2.62364051604712,2.50198681944149,2.76412976856822,2.9217556459921,2.8856948116898,2.7835563927919,2.79104637401321,2.91193523776045,2.85394536149364,3.00814048009491,3.01927989555527
"ABCD3",2.5789952125125,2.46047050953841,2.59569818684136,2.63490198609049,2.26006360526925,2.30610792786112,2.13644997177681,2.84158774514543,2.53143685894224,2.16722238768806,2.32236718443177,2.62050735328927,2.35573235805065,2.00131441757492,2.28200055389899,2.25384438454854,2.15991814794194,2.21804708162112
"IMMP2L",1.89732214370431,1.98588910410803,2.670983284291,2.37748888943924,2.01200686055586,1.85560346564212,1.8235834815968,1.75061808064832,1.7342027862684,2.80902459636001,2.73534193746841,2.37198171240155,2.69126033953524,2.49170279173697,2.87601040415999,2.6101997088274,2.60973156309523,2.53426010878241
"CDC25A",2.18361354860576,1.72109306236832,2.1137324994392,1.89866653619699,1.57264426815883,2.03106201100447,1.68721346255151,1.75803107360254,1.83311070431513,2.48483133495987,2.47923418346337,2.442962068355,2.80143288697705,2.61163840624165,2.58649527102646,2.44351250194414,2.57492933630545,2.270081562808
"TENT2",2.8130160650398,2.86113217798622,2.98113130808325,2.95038031934419,2.80589933310636,2.88017084285135,2.39936034111654,2.24035157939143,3.07951345610581,3.2600011088537,3.10387593037317,2.74137098331268,3.0075419578263,3.27931750893454,3.2455349089458,3.2583538420097,3.26329617112239,2.93974713306953
"YPEL2",2.14856907439637,2.29065559403045,2.48081753228559,2.45986646007591,2.06587488049539,2.04674912271738,2.13689057605184,1.89167698235967,1.88776232115335,2.80607262086253,2.68134198688616,2.49213929863546,2.79802396312631,2.68208804774484,2.48689891293939,2.71130547165864,2.95817563411884,2.82266713699005
