"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013"
"STMN1",2.1990048212967,2.2270238621412,2.68848722042629,2.74884611502441,2.60754502998029,2.04502806638348,2.57944326629976,2.76277507596131,2.72723912388049,2.52713340824049,2.58934235988116,2.61988154627382,2.55724783452891,2.26395863679844,1.94141961225429,1.86140000820027,2.12411833335893,1.97110831170259,2.22014264003756,2.14390013429191,2.13280647117635
"NKX2-3",2.35684131988814,2.17392501373366,2.53126940944965,2.38175625528881,2.69627609063362,2.91520517508548,2.01884564947164,2.66656982462707,2.83749422146765,2.6482804348634,2.71577500760601,2.44817810141685,2.68190325487211,2.89759573019512,2.8807636813683,2.70434258413191,3.23208033899208,3.14502948257298,2.77822266679105,2.77616590679434,3.04808444354761
"ZNF483",2.34033666116552,2.0764020934587,2.84333187186293,2.70902346974958,2.57616002802498,2.35508535175314,2.50671262546496,2.62364051604712,2.50198681944149,2.76412976856822,2.9217556459921,2.8856948116898,2.7835563927919,2.98700736862242,2.895563213675,3.14620325024038,2.64449198962875,3.1828564185746,3.03673699448804,3.0049171520887,3.0150227421179
"CNNM2",2.21500507820117,2.14336370239604,2.13495787337704,2.5246547285768,1.99771404297789,2.22307249173423,2.27899755033224,2.74767676902521,1.89427258830505,2.09784740617573,1.9531210554433,2.28366846377527,2.30701372717485,2.09550825635815,1.93029187809285,1.73441785475882,1.92521141596755,1.87197805727779,1.98716221533044,2.00939518962595,1.9768867240739
"SLC1A6",1.87215304582434,1.88745157443697,2.40953404438771,2.29175559876081,2.7950331557592,2.9062941583861,2.10543269160647,2.96264637147843,2.63250228541518,2.63848538110987,2.72043629925857,2.41994791172871,1.80648780790536,2.57627832241544,2.98021929219412,2.48532403148644,2.8324179478681,2.89369692378393,2.850576422114,3.02767178559229,2.90503390319349
"CDC42-IT1",2.70504808641301,2.82883200977028,2.47847745173026,2.62520899231105,2.77379973397204,2.55712086043992,2.36275124646138,2.03207156568453,2.27266971803583,2.81317721037079,2.71733995146142,2.37419595564616,2.94181583720675,3.07793700076934,2.73376929982041,2.98362826649912,2.64584711953739,3.08092008719143,3.14113830328607,2.94756554798252,2.69898141545231
"LINC01122",1.94877837028704,2.06199802728986,2.46080021802526,2.21167511999679,2.23055073106991,2.48044299176812,2.21128419219976,2.43578192225309,1.97084261326476,2.88119375801575,2.89718019906164,2.32238997189689,2.89707697542825,2.75945116181672,2.92355463777355,2.93400292775156,2.30645270023689,2.85092440861802,2.81669349402272,2.70105994366974,2.72351793390874
"CEP128",1.81861949854425,2.15469045779736,2.63070413808499,2.22380989398792,2.01433529508543,2.05503214416715,2.01958699235664,2.06007782871167,1.97084261326476,2.82102849792098,2.57015978749419,2.76686501904422,2.67196541669589,2.48287151052973,2.7671825084221,2.85898754555935,2.399166170871,2.72467864518396,2.77111502008894,2.65314831926557,2.58057219848983
"SNHG14",1.88190302601968,2.10891146530869,2.1882445555874,2.01033013468372,1.78292306236625,2.66523152767086,1.88324347677654,2.32876352358385,2.55191807054654,2.16108180484731,2.1336628144626,2.02787981777408,1.92686781142774,1.78539528889315,1.69117366945048,1.7039897035732,1.85578523460077,1.899229392109,1.84566065522672,1.85391622692314,1.82311875662586
"TRHDE-AS1",2.33541551007359,2.46978623416228,2.250637536936,2.24816227397708,2.2556149356911,2.33796421937708,2.3537907502534,2.18123870165604,2.09620314537723,2.29682475225301,2.26115015830851,2.28959547135782,2.2889305061861,2.53998559520876,2.4282520230579,2.85938937278753,2.28885522450476,2.75318261892362,2.52879258181787,2.63182207452507,2.65982594043412
