"","x"
"1","STMN1"
"2","RPL32P3"
"3","PCBP1-AS1"
"4","IRAK3"
"5","HECTD1"
"6","AHR"
"7","AL031681.3"
"8","AL512380.2"
"9","TTC30A"
"10","PTPRD"
"11","ZNF236"
"12","ANKRD23"
"13","FSD1L"
"14","KLF8"
"15","PCCA"
"16","ERCC5"
"17","MMP24OS"
"18","SLC44A5"
"19","XIAP"
"20","MCTP2"
"21","AL139339.1"
"22","C8orf44"
"23","NAMPT"
"24","DARS-AS1"
"25","ITGA4"
"26","KCNQ1OT1"
"27","SRD5A3"
"28","KIAA1841"
"29","COG2"
"30","ZC3H11A"
"31","JPH3"
"32","DDHD1"
"33","MRPL30"
"34","CCDC88C"
"35","KCNC3"
"36","CAND1"
"37","C6orf52"
"38","NFYB"
"39","STAT1"
