"","x"
"1","ABCD3"
"2","GJA1"
"3","IL13RA1"
"4","FARP1"
"5","TOM1"
"6","SLC37A4"
"7","DNAJB9"
"8","AAGAB"
"9","SLC16A3"
"10","DNAJB12"
"11","OAS1"
"12","PPP2R1B"
"13","SDC3"
"14","E2F1"
"15","ARHGAP29"
"16","ALOX12B"
"17","RNF125"
"18","TPM4"
"19","SPP1"
"20","MS4A3"
"21","ARHGAP32"
"22","TUBB2B"
"23","HBA2"
"24","C10orf95"
"25","SDF4"
"26","CU633906.2"
"27","AL356273.3"
"28","RAD18"
"29","CYP3A5"
"30","LINC01770"
"31","IGSF5"
"32","RBM43"
"33","FENDRR"
"34","WDR63"
"35","LINC02303"
"36","MRPL50"
"37","FAM205A"
"38","C15orf65"
"39","CASZ1"
"40","TMCO5B"
"41","RHOJ"
"42","GJC1"
"43","SPIRE2"
"44","SPACA3"
"45","SHANK2"
"46","ITGA4"
"47","AC079336.2"
"48","CFAP100"
"49","VSIG1"
"50","IFT27"
"51","SFTA1P"
"52","RASEF"
"53","TEX26"
"54","WDR38"
"55","AC010247.1"
"56","FCRL1"
"57","AC017091.1"
"58","LINC00355"
"59","STAT1"
