"","x"
"1","NKX2-3"
"2","ZNF483"
"3","SLC1A6"
"4","CDC42-IT1"
"5","LINC01122"
"6","CEP128"
"7","TRHDE-AS1"
"8","TRHDE-AS1"
"9","VWDE"
"10","PCDH9"
"11","TRIM24"
"12","IFIT1"
"13","ZNF217"
"14","KDM6A"
"15","TOPORS"
"16","FPGT"
"17","PCDH17"
"18","ASPA"
"19","SELP"
"20","SCN9A"
"21","GOLGA8A"
"22","ANXA3"
"23","KMO"
"24","FCER1A"
"25","MEG3"
"26","PPP2R2B"
"27","RMI1"
"28","AP1AR"
"29","FAT4"
"30","PCDH9"
"31","TRHDE"
"32","PRR16"
"33","ABI3BP"
"34","CCPG1"
"35","SLC25A37"
"36","ABI3BP"
"37","YIPF5"
"38","ZNRF3"
"39","KBTBD6"
"40","PURA"
"41","PCDH17"
"42","ITGA2"
"43","CD274"
"44","C2orf88"
"45","C16orf72"
"46","XIRP2"
"47","ST6GAL2"
"48","PCDH17"
"49","MFSD4A"
"50","KBTBD7"
"51","TRIM13"
"52","ST8SIA4"
"53","CYSLTR1"
"54","STOX2"
"55","MIR3142HG"
"56","ZNF792"
"57","HCFC2"
"58","PIGM"
"59","DHFR2"
"60","TRIP11"
"61","GIPC2"
"62","MIR646HG"
"63","FIGN"
"64","FIGN"
"65","AL603750.1"
"66","DNAJC3-DT"
"67","RASSF9"
"68","BMPR1B"
"69","FIGN"
"70","GART"
