ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
1553267_a_at	CCR4-NOT transcription complex subunit 6 like(CNOT6L)	Homo sapiens			Function unknown,	GO:0000289~nuclear-transcribed mRNA poly(A) tail shortening,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006397~mRNA processing,GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,GO:0008284~positive regulation of cell proliferation,GO:0010606~positive regulation of cytoplasmic mRNA processing body assembly,GO:0031047~gene silencing by RNA,GO:0061157~mRNA destabilization,GO:0090503~RNA phosphodiester bond hydrolysis, exonucleolytic,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0030014~CCR4-NOT complex,	GO:0004535~poly(A)-specific ribonuclease activity,GO:0005515~protein binding,GO:0046872~metal ion binding,	IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR005135:Endonuclease/exonuclease/phosphatase,	hsa03018:RNA degradation,			SM00369:LRR_TYP,	3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Exonuclease,Hydrolase,Leucine-rich repeat,Magnesium,Metal-binding,mRNA processing,Nuclease,Nucleus,Proteomics identification,Reference proteome,Repeat,RNA-mediated gene silencing,Transcription,Transcription regulation,Translation regulation,	chain:CCR4-NOT transcription complex subunit 6- like,mutagenesis site,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,sequence conflict,splice variant,
236257_at	CD2 associated protein(CD2AP)	Homo sapiens				GO:0006461~protein complex assembly,GO:0006930~substrate-dependent cell migration, cell extension,GO:0007010~cytoskeleton organization,GO:0007067~mitotic nuclear division,GO:0007165~signal transduction,GO:0016050~vesicle organization,GO:0016337~single organismal cell-cell adhesion,GO:0032911~negative regulation of transforming growth factor beta1 production,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0048259~regulation of receptor-mediated endocytosis,GO:0051301~cell division,GO:1900182~positive regulation of protein localization to nucleus,GO:2000249~regulation of actin cytoskeleton reorganization,	GO:0001726~ruffle,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005913~cell-cell adherens junction,GO:0015629~actin cytoskeleton,GO:0030139~endocytic vesicle,GO:0031941~filamentous actin,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0005172~vascular endothelial growth factor receptor binding,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0008013~beta-catenin binding,GO:0008022~protein C-terminus binding,GO:0017124~SH3 domain binding,GO:0032403~protein complex binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR001452:Src homology-3 domain,	hsa05100:Bacterial invasion of epithelial cells,	607832~Glomerulosclerosis, focal segmental, 3,		SM00326:SH3,	3D-structure,Cell cycle,Cell division,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Isopeptide bond,Mitosis,Phosphoprotein,Polymorphism,Reference proteome,Repeat,SH3 domain,SH3-binding,Ubl conjugation,	chain:CD2-associated protein,compositionally biased region:Pro-rich,domain:SH3 1; truncated,domain:SH3 2,domain:SH3 3,helix,modified residue,region of interest:Interaction with ANLN and localization to the midbody,sequence variant,short sequence motif:SH3-binding,strand,turn,
201510_at	E74 like ETS transcription factor 3(ELF3)	Homo sapiens				GO:0001824~blastocyst development,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0006954~inflammatory response,GO:0007275~multicellular organism development,GO:0008544~epidermis development,GO:0030198~extracellular matrix organization,GO:0030855~epithelial cell differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060056~mammary gland involution,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,	IPR000418:Ets domain,IPR003118:Pointed domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR013761:Sterile alpha motif/pointed domain,				SM00251:SAM_PNT,SM00413:ETS,	3D-structure,Activator,Alternative splicing,Complete proteome,Cytoplasm,Developmental protein,Differentiation,DNA-binding,Inflammatory response,Nucleus,Polymorphism,Proteomics identification,Reference proteome,Repressor,Transcription,Transcription regulation,	chain:ETS-related transcription factor Elf-3,DNA-binding region:ETS,domain:PNT,helix,mutagenesis site,sequence conflict,sequence variant,splice variant,strand,turn,
228188_at	FOS like 2, AP-1 transcription factor subunit(FOSL2)	Homo sapiens		h_ranklPathway:Bone Remodelling,		GO:0003334~keratinocyte development,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0008219~cell death,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048146~positive regulation of fibroblast proliferation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000982~transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,	IPR000837:Fos transforming protein,IPR004827:Basic-leucine zipper domain,	hsa04380:Osteoclast differentiation,			SM00338:BRLZ,	Acetylation,Alternative splicing,Coiled coil,Complete proteome,DNA-binding,Isopeptide bond,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,	chain:Fos-related antigen 2,DNA-binding region:Basic motif,domain:Leucine-zipper,modified residue,
244584_at	KIAA1549 like(KIAA1549L)	Homo sapiens					GO:0016021~integral component of membrane,		IPR024606:Protein of unknown function DUF3827,					Alternative splicing,Coiled coil,Complete proteome,Membrane,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:UPF0606 protein C11orf41,compositionally biased region:Poly-Ile,compositionally biased region:Poly-Pro,splice variant,transmembrane region,
222105_s_at	NFKB inhibitor interacting Ras like 2(NKIRAS2)	Homo sapiens				GO:0007165~signal transduction,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007264~small GTPase mediated signal transduction,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0003924~GTPase activity,GO:0005525~GTP binding,	IPR001806:Small GTPase superfamily,IPR005225:Small GTP-binding protein domain,IPR020849:Small GTPase superfamily, Ras type,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Alternative splicing,Complete proteome,Cytoplasm,GTP-binding,Nucleotide-binding,Proteomics identification,Reference proteome,	chain:NF-kappa-B inhibitor-interacting Ras-like protein 2,nucleotide phosphate-binding region:GTP,region of interest:Small GTPase-like,short sequence motif:Effector region,splice variant,
232520_s_at	NSFL1 cofactor(NSFL1C)	Homo sapiens				GO:0007030~Golgi organization,GO:0031468~nuclear envelope reassembly,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0061025~membrane fusion,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005737~cytoplasm,GO:0005795~Golgi stack,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0045111~intermediate filament cytoskeleton,GO:1990730~VCP-NSFL1C complex,	GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0043130~ubiquitin binding,GO:0051117~ATPase binding,	IPR001012:UBX,IPR009060:UBA-like,IPR012989:SEP domain,	hsa04141:Protein processing in endoplasmic reticulum,			SM00166:UBX,SM00553:SEP,	3D-structure,Alternative splicing,Chromosome,Complete proteome,Direct protein sequencing,Golgi apparatus,Lipid-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:NSFL1 cofactor p47,compositionally biased region:Poly-Glu,domain:SEP,domain:UBX,helix,modified residue,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,splice variant,strand,turn,
219661_at	RAN binding protein 17(RANBP17)	Homo sapiens			Nuclear structure / Intracellular trafficking and secretion,	GO:0006606~protein import into nucleus,GO:0006611~protein export from nucleus,GO:0006886~intracellular protein transport,GO:0051028~mRNA transport,	GO:0005622~intracellular,GO:0005643~nuclear pore,GO:0005737~cytoplasm,	GO:0005049~nuclear export signal receptor activity,GO:0005525~GTP binding,GO:0008536~Ran GTPase binding,	IPR001494:Importin-beta, N-terminal,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,				SM00913:SM00913,	Acetylation,Alternative splicing,Complete proteome,Cytoplasm,mRNA transport,Nuclear pore complex,Nucleus,Phosphoprotein,Protein transport,Proteomics identification,Reference proteome,Translocation,Transport,	chain:Ran-binding protein 17,sequence conflict,
227983_at	Rab interacting lysosomal protein like 2(RILPL2)	Homo sapiens				GO:0003382~epithelial cell morphogenesis,GO:0060271~cilium morphogenesis,GO:1903445~protein transport from ciliary membrane to plasma membrane,	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005829~cytosol,GO:0005929~cilium,GO:0016020~membrane,GO:0036064~ciliary basal body,GO:0070062~extracellular exosome,GO:0072372~primary cilium,	GO:0031267~small GTPase binding,GO:0042802~identical protein binding,GO:0051959~dynein light intermediate chain binding,	IPR021563:Rab interacting lysosomal protein,					Cell projection,Cilium,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Phosphoprotein,Protein transport,Reference proteome,Transport,	chain:RILP-like protein 2,compositionally biased region:Poly-Glu,domain:RILP-like,
1561269_at	Rap guanine nucleotide exchange factor 5(RAPGEF5)	Homo sapiens		h_ghrelinPathway:Ghrelin: Regulation of Food Intake and Energy Homeostasis,		GO:0007264~small GTPase mediated signal transduction,GO:0007399~nervous system development,GO:0035556~intracellular signal transduction,GO:0043547~positive regulation of GTPase activity,	GO:0005622~intracellular,GO:0005634~nucleus,	GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0017034~Rap guanyl-nucleotide exchange factor activity,GO:0030742~GTP-dependent protein binding,	IPR000591:DEP domain,IPR000651:Ras-like guanine nucleotide exchange factor, N-terminal,IPR001895:Guanine-nucleotide dissociation stimulator CDC25,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR019804:Ras guanine-nucleotide exchange factor, conserved site,IPR023578:Ras guanine nucleotide exchange factor, domain,	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,			SM00049:DEP,SM00147:RasGEF,SM00229:RasGEFN,	3D-structure,Alternative splicing,Complete proteome,Guanine-nucleotide releasing factor,Nucleus,Proteomics identification,Reference proteome,Signal,	chain:Rap guanine nucleotide exchange factor 5,domain:N-terminal Ras-GEF,domain:Ras-GEF,helix,sequence conflict,splice variant,strand,
